document_id,file_name,doc_type,page_number,source_path,text_preview
doc_0000,audit.txt,txt,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\audit.txt,AUDIT TRAILS  Audit trails maintain a record of system activity both by system and application processes and by user activity of systems and applications.  In conjunction with appropriate tools and pr
doc_0001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx,<<Insert name>> SYSTEM SECURITY PLAN   	                    Last Updated:  <<Insert date>>  		SYSTEM IDENTIFICATION  		  		System Name/Title: [State the name of the system.  Spell out acronyms.]  		  
doc_0002,NIST.CSWP.29.pdf,pdf,0.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"National Institute of Standards and Technology  This publication is available free of charge from: https://doi.org/10.6028/NIST.CSWP.29  February 26, 2024   The NIST Cybersecurity  Framework (CSF) 2.0"
doc_0003,NIST.CSWP.29.pdf,pdf,1.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"T he NIST Cybersecurity Framework (CSF) 2.0   i  NIST CSWP 29  February 26, 2024  Abstract T he NIST Cybersecurity Framework (CSF) 2.0 provides guidance to industry, government  agencies, and other or"
doc_0004,NIST.CSWP.29.pdf,pdf,2.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024   ii  Acknowledgments  The CSF is the result of a multi-year collaborative effort across industry, academia, and  government"
doc_0005,NIST.CSWP.29.pdf,pdf,3.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024   iii  Table of Contents  1. Cybersecurity Framework (CSF) Overview ........................................................"
doc_0006,NIST.CSWP.29.pdf,pdf,4.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024   iv  Preface  T he Cybersecurity Framework (CSF) 2.0 is designed to help organizations of all sizes and sectors  — includin"
doc_0007,NIST.CSWP.29.pdf,pdf,5.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024    1  1. Cybersecurity Framework (CSF) Overview   This document is version 2.0 of the NIST Cybersecurity Framework (Framewor"
doc_0008,NIST.CSWP.29.pdf,pdf,6.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024    2  • Prioritize: Identify, organize, and prioritize actions for managing cybersecurity risks that  align with the organiz"
doc_0009,NIST.CSWP.29.pdf,pdf,7.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024    3  2. Introduction to the CSF Core   Appendix A is the CSF Core — a set of cybersecurity outcomes arranged by Function, t"
doc_0010,NIST.CSWP.29.pdf,pdf,8.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024    4  improvement opportunities for the organization’s policies, plans, processes, procedures,  and practices that support c"
doc_0011,NIST.CSWP.29.pdf,pdf,9.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024    5    Fig. 2. CSF Functions  The Functions should be addressed concurrently. Actions that support GOVERN, IDENTIFY, PROTEC"
doc_0012,NIST.CSWP.29.pdf,pdf,10.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024    6  3. Introduction to CSF Profiles and Tiers  This section defines the concepts of CSF Profiles and Tiers.  3.1. CSF Prof"
doc_0013,NIST.CSWP.29.pdf,pdf,11.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024    7  1. Scope the Organizational Profile. Document the high-level facts and assumptions on  which the Profile will be based"
doc_0014,NIST.CSWP.29.pdf,pdf,12.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf,"NIST CSWP 29  The NIST Cybersecurity Framework (CSF) 2.0  February 26, 2024    8  continuously improving. Selecting Tiers helps set the overall tone for how an organization will  manage its cybersecur"
